sequence,visit_day,request_wave,priority,chapter,cluster_title,request_identifier,request_type,source_part,office,visit_goal,why_it_matters,first_onsite_action,onsite_actions,target_terms,capture_folder_title,capture_box_or_container,capture_item_title,capture_item_date,capture_sender_recipient,capture_document_type,capture_classification_markings,capture_page_range,capture_attachments,capture_withdrawal_or_redaction_notes,capture_volume_boundary,candidate_disposition,final_source_note,source_note
1,Pre-visit,Pre-visit / 01.01,Control,Volume Control,2013-0185-M folder-title lists,Part 1: 375 pp,Folder-list control reference,Parts 1-4,Clinton Presidential Library / NSC Access Management,"Use the four PDFs as the on-site call-slip map. They expose folder titles, OA/ID numbers, and responsible NSC offices, but not final item-level document boundaries.","This gives the Library visit a queue: pull high-yield folders first, capture folder covers and withdrawal sheets, then decide which folders merit item-level review.",Ask staff how to cite 2013-0185-M folder-title entries in request slips.,"Ask staff how to cite 2013-0185-M folder-title entries in request slips.; Confirm whether OA/ID numbers map directly to boxes, folders, or accessions for same-day pulls.; Separate Volume VII 1993-1996 material from Volume VIII handoff folders before requesting large later-date runs.",2013-0185-M; OA/ID; folder title list; NSC Folder Titles,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1-4, Part 1: 375 pp. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
2,Pre-visit,Pre-visit / 01.02,Control,Volume Control,2013-0185-M folder-title lists,Part 2: 376 pp,Folder-list control reference,Parts 1-4,Clinton Presidential Library / NSC Access Management,"Use the four PDFs as the on-site call-slip map. They expose folder titles, OA/ID numbers, and responsible NSC offices, but not final item-level document boundaries.","This gives the Library visit a queue: pull high-yield folders first, capture folder covers and withdrawal sheets, then decide which folders merit item-level review.",Ask staff how to cite 2013-0185-M folder-title entries in request slips.,"Ask staff how to cite 2013-0185-M folder-title entries in request slips.; Confirm whether OA/ID numbers map directly to boxes, folders, or accessions for same-day pulls.; Separate Volume VII 1993-1996 material from Volume VIII handoff folders before requesting large later-date runs.",2013-0185-M; OA/ID; folder title list; NSC Folder Titles,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1-4, Part 2: 376 pp. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
3,Pre-visit,Pre-visit / 01.03,Control,Volume Control,2013-0185-M folder-title lists,Part 3: 356 pp,Folder-list control reference,Parts 1-4,Clinton Presidential Library / NSC Access Management,"Use the four PDFs as the on-site call-slip map. They expose folder titles, OA/ID numbers, and responsible NSC offices, but not final item-level document boundaries.","This gives the Library visit a queue: pull high-yield folders first, capture folder covers and withdrawal sheets, then decide which folders merit item-level review.",Ask staff how to cite 2013-0185-M folder-title entries in request slips.,"Ask staff how to cite 2013-0185-M folder-title entries in request slips.; Confirm whether OA/ID numbers map directly to boxes, folders, or accessions for same-day pulls.; Separate Volume VII 1993-1996 material from Volume VIII handoff folders before requesting large later-date runs.",2013-0185-M; OA/ID; folder title list; NSC Folder Titles,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1-4, Part 3: 356 pp. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
4,Pre-visit,Pre-visit / 01.04,Control,Volume Control,2013-0185-M folder-title lists,Part 4: 183 pp,Folder-list control reference,Parts 1-4,Clinton Presidential Library / NSC Access Management,"Use the four PDFs as the on-site call-slip map. They expose folder titles, OA/ID numbers, and responsible NSC offices, but not final item-level document boundaries.","This gives the Library visit a queue: pull high-yield folders first, capture folder covers and withdrawal sheets, then decide which folders merit item-level review.",Ask staff how to cite 2013-0185-M folder-title entries in request slips.,"Ask staff how to cite 2013-0185-M folder-title entries in request slips.; Confirm whether OA/ID numbers map directly to boxes, folders, or accessions for same-day pulls.; Separate Volume VII 1993-1996 material from Volume VIII handoff folders before requesting large later-date runs.",2013-0185-M; OA/ID; folder title list; NSC Folder Titles,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1-4, Part 4: 183 pp. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
5,Day 1,Day 1 / 02.01,A,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",OA/ID 267,OA/ID request,Part 1,Defense Policy / Robert Bell and Steven Andreasen,"Pull the PRD-19 and CTB folders first. They are the best on-site path into the 1993 nuclear-testing review, CTBT negotiation strategy, P-5 diplomacy, verification, hydronuclear issues, and country-specific CTB files.",The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.,"Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.; For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.",PRD-19; CTB; Comprehensive Test Ban; nuclear testing; verification; hydronuclear,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 267. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
6,Day 1,Day 1 / 02.02,A,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",OA/ID 379,OA/ID request,Part 1,Defense Policy / Robert Bell and Steven Andreasen,"Pull the PRD-19 and CTB folders first. They are the best on-site path into the 1993 nuclear-testing review, CTBT negotiation strategy, P-5 diplomacy, verification, hydronuclear issues, and country-specific CTB files.",The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.,"Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.; For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.",PRD-19; CTB; Comprehensive Test Ban; nuclear testing; verification; hydronuclear,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 379. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
7,Day 1,Day 1 / 02.03,A,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",OA/ID 380,OA/ID request,Part 1,Defense Policy / Robert Bell and Steven Andreasen,"Pull the PRD-19 and CTB folders first. They are the best on-site path into the 1993 nuclear-testing review, CTBT negotiation strategy, P-5 diplomacy, verification, hydronuclear issues, and country-specific CTB files.",The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.,"Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.; For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.",PRD-19; CTB; Comprehensive Test Ban; nuclear testing; verification; hydronuclear,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 380. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
8,Day 1,Day 1 / 02.04,A,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",OA/ID 381,OA/ID request,Part 1,Defense Policy / Robert Bell and Steven Andreasen,"Pull the PRD-19 and CTB folders first. They are the best on-site path into the 1993 nuclear-testing review, CTBT negotiation strategy, P-5 diplomacy, verification, hydronuclear issues, and country-specific CTB files.",The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.,"Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.; For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.",PRD-19; CTB; Comprehensive Test Ban; nuclear testing; verification; hydronuclear,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 381. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
9,Day 1,Day 1 / 02.05,A,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",OA/ID 2899,OA/ID request,Part 1,Defense Policy / Robert Bell and Steven Andreasen,"Pull the PRD-19 and CTB folders first. They are the best on-site path into the 1993 nuclear-testing review, CTBT negotiation strategy, P-5 diplomacy, verification, hydronuclear issues, and country-specific CTB files.",The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.,"Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.; For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.",PRD-19; CTB; Comprehensive Test Ban; nuclear testing; verification; hydronuclear,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 2899. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
10,Day 1,Day 1 / 02.06,A,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",OA/ID 3331,OA/ID request,Part 1,Defense Policy / Robert Bell and Steven Andreasen,"Pull the PRD-19 and CTB folders first. They are the best on-site path into the 1993 nuclear-testing review, CTBT negotiation strategy, P-5 diplomacy, verification, hydronuclear issues, and country-specific CTB files.",The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.,"Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.; For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.",PRD-19; CTB; Comprehensive Test Ban; nuclear testing; verification; hydronuclear,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 3331. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
