sequence,date,priority,chapter,event_type,diary_anchor_title,participants,occurrence_source_path,occurrence_source_note,occurrence_source_url,occurrence_digital_object_url,catalog_search_url,counterpart_needed,likely_counterpart_record_types,search_action,related_candidate_leads,clinton_library_pull_clusters,public_statement_anchors,target_terms,required_verification,capture_counterpart_title,capture_counterpart_date,capture_counterpart_record_type,capture_source_path,capture_author_recipient,capture_classification_markings,capture_page_range,capture_relationship_to_diary_entry,disposition,final_source_note,compiler_notes
1,1993-01-26,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader call index,Telephone call with President Leonid Kravchuk of Ukraine,Bill Clinton; Leonid Kravchuk,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, January 26, 1993 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against the daily diary and released telcon file.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",telcon memorandum; NSC call memorandum; interpreter or translation record; CTR or HEU implementation file; Ukraine/Russia nuclear-removal file; State cable,"Locate telcon memorandum or NSC call memorandum for ""Telephone call with President Leonid Kravchuk of Ukraine""; screen ""Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program""; pull ""DOE safeguards, Russian nuclear control, and HEU implementation paths""; capture the substantive counterpart before using the diary entry as sequence evidence.",1994-1996: Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program; 1994-01-14: Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues; 1993-04-04: Meeting with Russian President Boris Yeltsin on Security Issues; date pending: Notebooks: [Nunn Lugar Meeting],"A: DOE safeguards, Russian nuclear control, and HEU implementation paths (381, 3592, 2818)",,Leonid Kravchuk; Kravchuk; Leonid; Ukraine; Early; nuclear-disarmament; contact; backtrack; memcon; telcon; records; CTR,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
2,1993-02-09,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader call index,Telephone call with President Stanislav Shushkevich of Belarus,Bill Clinton; Stanislav Shushkevich,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, February 9, 1993 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against the daily diary and released telcon file.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",telcon memorandum; NSC call memorandum; interpreter or translation record; CTR or HEU implementation file; Ukraine/Russia nuclear-removal file; State cable,"Locate telcon memorandum or NSC call memorandum for ""Telephone call with President Stanislav Shushkevich of Belarus""; screen ""Meeting with Russian President Boris Yeltsin on Security Issues""; pull ""DOE safeguards, Russian nuclear control, and HEU implementation paths""; capture the substantive counterpart before using the diary entry as sequence evidence.",1993-04-04: Meeting with Russian President Boris Yeltsin on Security Issues; 1994-1996: Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program; date pending: Notebooks: [Nunn Lugar Meeting]; date pending: Working Groups: [Space Cooperation and Standing Committee Nuclear Materials],"A: DOE safeguards, Russian nuclear control, and HEU implementation paths (381, 3592, 2818)",,Stanislav Shushkevich; Shushkevich; Stanislav; Belarus; nuclear-removal; START; source; path; Pair; accession; CTR; HEU,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
3,1993-02-10,High,Strategic Arms and Nuclear Security,Presidential Daily Diary call,Conference call with President Boris Yeltsin of Russia,Bill Clinton; Boris Yeltsin; Jane Hall; R. Nicholas Burns; Dimitry Zarechnak,2010-0083-F hardcopy scan,"Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-001-2015.pdf, February 10, 1993 entry. Presidential Daily Diary hardcopy; substantive agenda requires telcon file verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-001-2015.pdf,,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",telcon memorandum; NSC call memorandum; interpreter or translation record; memorandum of conversation; NSC meeting note; briefing book or trip file; NSC Russia arms-control file; joint-statement clearance record,"Locate telcon memorandum or NSC call memorandum for ""Conference call with President Boris Yeltsin of Russia""; screen ""PDD on Nuclear Security 9/20/95""; capture the substantive counterpart before using the diary entry as sequence evidence.",date pending: PDD on Nuclear Security 9/20/95; date pending: Working Groups: [Space Cooperation and Standing Committee Nuclear Materials],,,Boris Yeltsin; Yeltsin; Jane Hall; Hall; R Nicholas Burns; Burns; Dimitry Zarechnak; Zarechnak; Boris; Russia; Early; Clinton-Yeltsin,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
4,1993-03-24,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meetings with Andrei Kozyrev of Russia and Anatoliy Zlenko of Ukraine,Bill Clinton; Andrei Kozyrev; Anatoliy Zlenko,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, March 24 and March 25, 1993 entries. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and meeting records.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; CTR or HEU implementation file; Ukraine/Russia nuclear-removal file; State cable,"Locate memorandum of conversation or NSC meeting note for ""Meetings with Andrei Kozyrev of Russia and Anatoliy Zlenko of Ukraine""; screen ""Meeting with Russian President Boris Yeltsin on Security Issues""; pull ""DOE safeguards, Russian nuclear control, and HEU implementation paths""; capture the substantive counterpart before using the diary entry as sequence evidence.",1993-04-04: Meeting with Russian President Boris Yeltsin on Security Issues; 1994-01-14: Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues; 1994-1996: Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program; date pending: Notebooks: [Nunn Lugar Meeting],"A: DOE safeguards, Russian nuclear control, and HEU implementation paths (381, 3592, 2818)",,Andrei Kozyrev; Kozyrev; Anatoliy Zlenko; Zlenko; Andrei; Russia; Anatoliy; Ukraine; Back-to-back; Russian; Ukrainian; foreign-minister,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
5,1993-04-04,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meetings with President Boris Yeltsin at Vancouver,Bill Clinton; Boris Yeltsin,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, April 3-4, 1993 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and released Vancouver memcons.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; CTR or HEU implementation file; Ukraine/Russia nuclear-removal file; State cable,"Locate memorandum of conversation or NSC meeting note for ""Meetings with President Boris Yeltsin at Vancouver""; screen ""Meeting with Russian President Boris Yeltsin on Security Issues""; pull ""DOE safeguards, Russian nuclear control, and HEU implementation paths""; capture the substantive counterpart before using the diary entry as sequence evidence.",1993-04-04: Meeting with Russian President Boris Yeltsin on Security Issues; 1994-01-14: Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues; 1994-1996: Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program; date pending: Notebooks: [Nunn Lugar Meeting],"A: DOE safeguards, Russian nuclear control, and HEU implementation paths (381, 3592, 2818)",,Boris Yeltsin; Yeltsin; Boris; Vancouver; High-value; anchor; early; Clinton-Yeltsin; arms-control; handling; including; Ukraine,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
6,1993-09-21,Medium,Strategic Arms and Nuclear Security,Presidential Daily Diary call,Conference call with President Boris Yeltsin,Bill Clinton; Boris Yeltsin; Rose Gottemoeller; John Beyrle; Dimitry Zarechnak,2010-0083-F hardcopy scan,"Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-004-2015.pdf, September 21, 1993 entry. Presidential Daily Diary hardcopy; substantive agenda requires telcon file verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-004-2015.pdf,,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",telcon memorandum; NSC call memorandum; interpreter or translation record; NSC Russia arms-control file; joint-statement clearance record,"Locate telcon memorandum or NSC call memorandum for ""Conference call with President Boris Yeltsin""; screen ""PDD on Nuclear Security 9/20/95""; capture the substantive counterpart before using the diary entry as sequence evidence.",date pending: PDD on Nuclear Security 9/20/95; date pending: Working Groups: [Space Cooperation and Standing Committee Nuclear Materials],,,Boris Yeltsin; Yeltsin; Rose Gottemoeller; Gottemoeller; John Beyrle; Beyrle; Dimitry Zarechnak; Zarechnak; Boris; Russian; high-level; contact,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
7,1994-01-14,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meeting with Presidents Boris Yeltsin and Leonid Kravchuk,Bill Clinton; Boris Yeltsin; Leonid Kravchuk,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, January 14, 1994 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against released trilateral meeting record.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; CTR or HEU implementation file; Ukraine/Russia nuclear-removal file; State cable,"Locate memorandum of conversation or NSC meeting note for ""Meeting with Presidents Boris Yeltsin and Leonid Kravchuk""; screen ""Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues""; pull ""DOE safeguards, Russian nuclear control, and HEU implementation paths""; capture the substantive counterpart before using the diary entry as sequence evidence.",1994-01-14: Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues; 1993-04-04: Meeting with Russian President Boris Yeltsin on Security Issues; 1994-1996: Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program; date pending: Notebooks: [Nunn Lugar Meeting],"A: DOE safeguards, Russian nuclear control, and HEU implementation paths (381, 3592, 2818)",,Boris Yeltsin; Yeltsin; Leonid Kravchuk; Kravchuk; Presidents; Boris; Leonid; Core; Ukraine; denuclearization; Trilateral; event,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
8,1994-02-14,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meeting with President Nursultan Nazarbayev of Kazakhstan,Bill Clinton; Nursultan Nazarbayev,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, February 14, 1994 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and meeting record.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; CTR or HEU implementation file; Ukraine/Russia nuclear-removal file; State cable,"Locate memorandum of conversation or NSC meeting note for ""Meeting with President Nursultan Nazarbayev of Kazakhstan""; screen ""Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues""; pull ""DOE safeguards, Russian nuclear control, and HEU implementation paths""; capture the substantive counterpart before using the diary entry as sequence evidence.",1994-01-14: Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues; 1994-1996: Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program; date pending: Working Groups: [Space Cooperation and Standing Committee Nuclear Materials]; 1993-04-04: Meeting with Russian President Boris Yeltsin on Security Issues,"A: DOE safeguards, Russian nuclear control, and HEU implementation paths (381, 3592, 2818)",,Nursultan Nazarbayev; Nazarbayev; Nursultan; Kazakhstan; denuclearization; implementation; lane; former-Soviet; nuclear-materials; files; CTR; HEU,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
9,1994-04-13,High,Regional Proliferation Cases,Presidential Daily Diary meeting,Meeting to discuss North Korea and Haiti,Bill Clinton; Al Gore; Warren Christopher; William Perry; Anthony Lake,2010-0083-F hardcopy scan,"Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-008-2015.pdf, April 13, 1994 entry. Presidential Daily Diary hardcopy; substantive agenda requires PC/DC or NSC meeting-record verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-008-2015.pdf,,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; PC/DC minutes; interagency options paper; agency situation report; NSC regional policy file; State cable; PC/DC record,"Locate memorandum of conversation or NSC meeting note for ""Meeting to discuss North Korea and Haiti""; screen ""Declassified Documents concerning North Korea""; pull ""North Korea PC/DC meeting notes and working files""; capture the substantive counterpart before using the diary entry as sequence evidence.","1994-05-20: Declassified Documents concerning North Korea; 1994: Declassified documents on North Korea; 1994: North Korea - Negotiations with the Democratic Peoples' Republic of Korea (DPRK), 1994; date pending: Aoki Notes [G-7, North Korea] [2]","A: North Korea PC/DC meeting notes and working files (1394, 1406, 278, 644); A: Iran, Iraq, UNSCOM, and regional WMD files (255, 723, 724, 727); A: Technology transfers to China, ACDA, and missile proliferation (1797, 1808, 1809, 1810)",,Al Gore; Gore; Warren Christopher; Christopher; William Perry; Perry; Anthony Lake; Lake; discuss; North; Korea; Haiti,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
10,1994-06-09,High,Regional Proliferation Cases,Presidential Daily Diary call,Conference call with President Kim Young-sam of South Korea,Bill Clinton; Kim Young-sam; Daniel Poneman; Robert Suettinger,2010-0083-F hardcopy scan,"Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-008-2015.pdf, June 9, 1994 entry. Presidential Daily Diary hardcopy; substantive agenda requires telcon file verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-008-2015.pdf,,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",telcon memorandum; NSC call memorandum; interpreter or translation record; PC/DC minutes; interagency options paper; agency situation report; NSC regional policy file; State cable; PC/DC record,"Locate telcon memorandum or NSC call memorandum for ""Conference call with President Kim Young-sam of South Korea""; screen ""Declassified documents on North Korea""; pull ""North Korea PC/DC meeting notes and working files""; capture the substantive counterpart before using the diary entry as sequence evidence.","1994: Declassified documents on North Korea; 1994-05-20: Declassified Documents concerning North Korea; 1994: North Korea - Negotiations with the Democratic Peoples' Republic of Korea (DPRK), 1994; date pending: Aoki Notes [G-7, North Korea] [2]","A: North Korea PC/DC meeting notes and working files (1394, 1406, 278, 644); A: Iran, Iraq, UNSCOM, and regional WMD files (255, 723, 724, 727); A: Technology transfers to China, ACDA, and missile proliferation (1797, 1808, 1809, 1810)",1994-10-18: Remarks on the Nuclear Agreement With North Korea,Kim Young-sam; Young-sam; Daniel Poneman; Poneman; Robert Suettinger; Suettinger; South; Korea; North; nuclear; crisis; Daniel,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
