sequence,run_priority,chapter,query,scope_naid,scope_label,scout_search_url,catalog_search_url,existing_file_unit_leads_in_chapter,high_priority_file_unit_leads_in_chapter,chapter_readiness_band,chapter_readiness_score,top_chapter_risk,target_record_types,why_run_this_query,dedupe_note,harvester_command,capture_result_count,capture_top_naids,capture_item_level_hits,capture_child_item_urls,capture_dates_or_date_spans,capture_source_paths,capture_candidates_promoted,capture_context_only_leads,disposition,compiler_notes
1,Urgent,NPT and CTBT,Article VI,7386504,NSC Defense Policy and Arms Control Office,https://therealjameswilson.github.io/nara-scout/?q=Article%20VI,https://catalog.archives.gov/search?q=Article%20VI&collectionIdentifier=WJC*,4,4,Discovery first,4,High: Add negotiation and treaty-text records behind the NPT/CTBT public statements,ACDA/State negotiation cable; NSC decision memorandum; PRD/PDD file; Geneva negotiating file,chapter has 4 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Add negotiation and treaty-text records behind the NPT/CTBT public statements; query targets Article,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
2,Urgent,NPT and CTBT,Comprehensive Test Ban,7386504,NSC Defense Policy and Arms Control Office,https://therealjameswilson.github.io/nara-scout/?q=Comprehensive%20Test%20Ban,https://catalog.archives.gov/search?q=Comprehensive%20Test%20Ban&collectionIdentifier=WJC*,4,4,Discovery first,4,High: Add negotiation and treaty-text records behind the NPT/CTBT public statements,ACDA/State negotiation cable; NSC decision memorandum; PRD/PDD file; Geneva negotiating file,"chapter has 4 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Add negotiation and treaty-text records behind the NPT/CTBT public statements; query targets Comprehensive, Test",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
3,Urgent,NPT and CTBT,CTBT,7386504,NSC Defense Policy and Arms Control Office,https://therealjameswilson.github.io/nara-scout/?q=CTBT,https://catalog.archives.gov/search?q=CTBT&collectionIdentifier=WJC*,4,4,Discovery first,4,High: Add negotiation and treaty-text records behind the NPT/CTBT public statements,ACDA/State negotiation cable; NSC decision memorandum; PRD/PDD file; Geneva negotiating file,chapter has 4 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Add negotiation and treaty-text records behind the NPT/CTBT public statements; query targets ctbt,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
4,Urgent,NPT and CTBT,Egypt NPT,7386504,NSC Defense Policy and Arms Control Office,https://therealjameswilson.github.io/nara-scout/?q=Egypt%20NPT,https://catalog.archives.gov/search?q=Egypt%20NPT&collectionIdentifier=WJC*,4,4,Discovery first,4,High: Add negotiation and treaty-text records behind the NPT/CTBT public statements,ACDA/State negotiation cable; NSC decision memorandum; PRD/PDD file; Geneva negotiating file,chapter has 4 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Add negotiation and treaty-text records behind the NPT/CTBT public statements; query targets Egypt,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
5,Urgent,NPT and CTBT,Non-Aligned Movement NPT,7386504,NSC Defense Policy and Arms Control Office,https://therealjameswilson.github.io/nara-scout/?q=Non-Aligned%20Movement%20NPT,https://catalog.archives.gov/search?q=Non-Aligned%20Movement%20NPT&collectionIdentifier=WJC*,4,4,Discovery first,4,High: Add negotiation and treaty-text records behind the NPT/CTBT public statements,ACDA/State negotiation cable; NSC decision memorandum; PRD/PDD file; Geneva negotiating file,"chapter has 4 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Add negotiation and treaty-text records behind the NPT/CTBT public statements; query targets Non-Aligned, Movement",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
6,Urgent,NPT and CTBT,NPT extension,7386504,NSC Defense Policy and Arms Control Office,https://therealjameswilson.github.io/nara-scout/?q=NPT%20extension,https://catalog.archives.gov/search?q=NPT%20extension&collectionIdentifier=WJC*,4,4,Discovery first,4,High: Add negotiation and treaty-text records behind the NPT/CTBT public statements,ACDA/State negotiation cable; NSC decision memorandum; PRD/PDD file; Geneva negotiating file,chapter has 4 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Add negotiation and treaty-text records behind the NPT/CTBT public statements; query targets extension,One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
7,Urgent,NPT and CTBT,Nuclear Non-Proliferation Treaty,7386504,NSC Defense Policy and Arms Control Office,https://therealjameswilson.github.io/nara-scout/?q=Nuclear%20Non-Proliferation%20Treaty,https://catalog.archives.gov/search?q=Nuclear%20Non-Proliferation%20Treaty&collectionIdentifier=WJC*,4,4,Discovery first,4,High: Add negotiation and treaty-text records behind the NPT/CTBT public statements,ACDA/State negotiation cable; NSC decision memorandum; PRD/PDD file; Geneva negotiating file,"chapter has 4 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Add negotiation and treaty-text records behind the NPT/CTBT public statements; query targets Nuclear, Non-Proliferation, Treaty",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
8,Urgent,NPT and CTBT,nuclear testing,7386504,NSC Defense Policy and Arms Control Office,https://therealjameswilson.github.io/nara-scout/?q=nuclear%20testing,https://catalog.archives.gov/search?q=nuclear%20testing&collectionIdentifier=WJC*,4,4,Discovery first,4,High: Add negotiation and treaty-text records behind the NPT/CTBT public statements,ACDA/State negotiation cable; NSC decision memorandum; PRD/PDD file; Geneva negotiating file,"chapter has 4 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Add negotiation and treaty-text records behind the NPT/CTBT public statements; query targets nuclear, testing",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
9,Urgent,NPT and CTBT,South Africa NPT,7386504,NSC Defense Policy and Arms Control Office,https://therealjameswilson.github.io/nara-scout/?q=South%20Africa%20NPT,https://catalog.archives.gov/search?q=South%20Africa%20NPT&collectionIdentifier=WJC*,4,4,Discovery first,4,High: Add negotiation and treaty-text records behind the NPT/CTBT public statements,ACDA/State negotiation cable; NSC decision memorandum; PRD/PDD file; Geneva negotiating file,"chapter has 4 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Add negotiation and treaty-text records behind the NPT/CTBT public statements; query targets South, Africa",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
10,Urgent,NPT and CTBT,stockpile stewardship,7386504,NSC Defense Policy and Arms Control Office,https://therealjameswilson.github.io/nara-scout/?q=stockpile%20stewardship,https://catalog.archives.gov/search?q=stockpile%20stewardship&collectionIdentifier=WJC*,4,4,Discovery first,4,High: Add negotiation and treaty-text records behind the NPT/CTBT public statements,ACDA/State negotiation cable; NSC decision memorandum; PRD/PDD file; Geneva negotiating file,"chapter has 4 unresolved file-unit leads; scorecard band is Discovery first; top chapter risk: Add negotiation and treaty-text records behind the NPT/CTBT public statements; query targets stockpile, stewardship",One row per query/scope pair from the harvester; capture result counts here before promoting records into the file-unit resolver or selection worksheet.,NARA_SCOUT_API_KEY=... node scripts/harvest-nara-scout-documents.js --limit=18 --per-chapter=12,,,,,,,,,,
