sequence,date,priority,chapter,event_type,title,participants,source_path,verification,relevance,source_note,source_url,digital_object_url,catalog_search_url
1,1993-01-26,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader call index,Telephone call with President Leonid Kravchuk of Ukraine,Bill Clinton; Leonid Kravchuk,Foreign-leader calls and meetings index,Index lead; pull corresponding Presidential Daily Diary day and NSC telcon files before treating as a document candidate.,"Early Ukraine nuclear-disarmament contact. Use to backtrack memcon/telcon records for START, Lisbon Protocol, and CTR implementation.","Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, January 26, 1993 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against the daily diary and released telcon file.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*
2,1993-02-09,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader call index,Telephone call with President Stanislav Shushkevich of Belarus,Bill Clinton; Stanislav Shushkevich,Foreign-leader calls and meetings index,Index lead; locate the underlying daily diary entry and any NSC/State call memorandum.,Belarus nuclear-removal and START/CTR source path. Pair with Belarus accession and Nunn-Lugar certification records.,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, February 9, 1993 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against the daily diary and released telcon file.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*
3,1993-02-10,High,Strategic Arms and Nuclear Security,Presidential Daily Diary call,Conference call with President Boris Yeltsin of Russia,Bill Clinton; Boris Yeltsin; Jane Hall; R. Nicholas Burns; Dimitry Zarechnak,2010-0083-F hardcopy scan,Hardcopy diary confirms time and participants; locate the telcon memorandum for substance.,"Early Clinton-Yeltsin channel before the Vancouver summit. Useful control point for Russia, strategic arms, HEU, and Ukraine follow-up.","Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-001-2015.pdf, February 10, 1993 entry. Presidential Daily Diary hardcopy; substantive agenda requires telcon file verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-001-2015.pdf,
4,1993-03-24,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meetings with Andrei Kozyrev of Russia and Anatoliy Zlenko of Ukraine,Bill Clinton; Andrei Kozyrev; Anatoliy Zlenko,Foreign-leader calls and meetings index,"Index lead; pull daily diary entries, NSC meeting notes, and State memoranda of conversation.","Back-to-back Russian and Ukrainian foreign-minister contacts in the opening arms-control phase. Good locator for Vancouver preparation, START implementation, and Ukraine nuclear diplomacy.","Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, March 24 and March 25, 1993 entries. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and meeting records.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*
5,1993-04-04,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meetings with President Boris Yeltsin at Vancouver,Bill Clinton; Boris Yeltsin,Foreign-leader calls and meetings index,Index marks the Vancouver meetings; use released memcons and diary/schedule files for final chronology.,"High-value anchor for early Clinton-Yeltsin arms-control handling, including HEU, Ukraine, START, nuclear testing, and security assistance source paths.","Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, April 3-4, 1993 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and released Vancouver memcons.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*
6,1993-09-21,Medium,Strategic Arms and Nuclear Security,Presidential Daily Diary call,Conference call with President Boris Yeltsin,Bill Clinton; Boris Yeltsin; Rose Gottemoeller; John Beyrle; Dimitry Zarechnak,2010-0083-F hardcopy scan,Hardcopy diary confirms call and staff presence; agenda should not be inferred without telcon memorandum.,Russian high-level contact with NSC Russian/Ukrainian/Eurasian Affairs staff present. Use as a chronology cross-check for Russia/Ukraine arms-control traffic.,"Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-004-2015.pdf, September 21, 1993 entry. Presidential Daily Diary hardcopy; substantive agenda requires telcon file verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-004-2015.pdf,
7,1994-01-14,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meeting with Presidents Boris Yeltsin and Leonid Kravchuk,Bill Clinton; Boris Yeltsin; Leonid Kravchuk,Foreign-leader calls and meetings index,Index marks the meeting declassified in full; pair with released memcon and public Trilateral Statement records.,"Core Ukraine denuclearization and Trilateral Statement event. Strong anchor for CTR, START, and nuclear-warhead-removal records.","Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, January 14, 1994 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against released trilateral meeting record.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*
8,1994-02-14,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meeting with President Nursultan Nazarbayev of Kazakhstan,Bill Clinton; Nursultan Nazarbayev,Foreign-leader calls and meetings index,Index lead; pull daily diary entry and memcon before item-level selection.,"Kazakhstan denuclearization and CTR implementation lane. Use with Nazarbayev, HEU, and former-Soviet nuclear-materials files.","Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, February 14, 1994 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and meeting record.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*
9,1994-04-13,High,Regional Proliferation Cases,Presidential Daily Diary meeting,Meeting to discuss North Korea and Haiti,Bill Clinton; Al Gore; Warren Christopher; William Perry; Anthony Lake,2010-0083-F hardcopy scan,Hardcopy diary confirms the meeting and principals. Pull PC/DC records and NSC North Korea files for substance.,Direct Presidential Daily Diary evidence of senior-level North Korea crisis handling before the Agreed Framework sequence.,"Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-008-2015.pdf, April 13, 1994 entry. Presidential Daily Diary hardcopy; substantive agenda requires PC/DC or NSC meeting-record verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-008-2015.pdf,
10,1994-06-09,High,Regional Proliferation Cases,Presidential Daily Diary call,Conference call with President Kim Young-sam of South Korea,Bill Clinton; Kim Young-sam; Daniel Poneman; Robert Suettinger,2010-0083-F hardcopy scan,Hardcopy diary confirms time and participants; locate telcon text and North Korea PC/DC records.,"North Korea nuclear crisis call with Daniel Poneman, NSC Nonproliferation and Export Controls, on the line.","Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-008-2015.pdf, June 9, 1994 entry. Presidential Daily Diary hardcopy; substantive agenda requires telcon file verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-008-2015.pdf,
